,Hamilton,Bottas,Verstappen,Perez,Ricciardo,Norris,Leclerc,Sainz,Vettel,Stroll,Alonso,Ocon,Gasly,Tsunoda,Raikkonen,Giovinazzi,Russel,Latifi,Schumacher,Mazepin,Mercedes,Red Bull,McLaren,Ferrari,Aston Martin,Alpine,Alpha Tauri,Alfa Romeo,Williams,Haas
Bahrain-28/3/2021,45,32,35,23,15,29,20,11,12,11,-8,11,2,16,12,5,10,1,11,-14,67,53,39,26,18,13,13,12,6,7
Imola-18/4/2021,40,-9,44,5,19,34,28,23,1,18,14,13,17,6,13,8,-11,-13,11,6,36,44,48,46,14,22,23,16,4,12
Portugal-2/5/2021,43,32,37,23,14,27,22,2,4,8,17,18,10,2,-13,8,3,2,11,4,65,55,36,19,7,30,7,5,0,10
Spain-9/5/2021,44,27,41,23,23,12,28,13,3,8,-5,9,13,-14,15,4,10,8,7,4,66,59,30,36,6,-1,9,14,13,6
Monaco-23/5/2021,37,3,60,28,3,49,5,36,28,17,10,14,22,2,9,11,10,8,0,11,25,78,32,51,40,19,19,15,13,11
Azerbaijan-6/6/2021,5,4,9,51,13,32,25,8,36,-20,23,-13,43,13,17,6,3,5,15,10,9,45,40,28,31,20,41,23,3,20
France-20/6/2021,36,22,49,38,21,28,-2,10,16,7,17,0,18,6,2,6,12,0,4,0,53,72,44,-2,23,12,24,3,7,-1
Styria-27/6/2021,38,34,44,22,3,22,16,24,7,16,11,8,-5,13,15,5,-11,4,13,6,62,61,20,35,18,14,18,15,3,14
Austria-4/7/2021,25,37,49,14,19,31,15,28,4,0,17,-14,15,-2,2,10,5,8,9,4,72,63,45,38,-1,13,3,7,8,8
Great Britain-18/7/2021,65,41,18,22,27,53,48,21,-1,22,35,10,8,17,7,12,16,10,8,11,86,43,58,72,29,28,18,12,19,12
Hungary-1/8/2021,45,-3,9,0,6,-5,-6,31,-14,-10,28,47,30,20,15,5,18,21,9,-12,42,14,11,35,6,70,40,15,34,12
Belgium-29/8/2021,22.5,11,32,2.5,20,5.5,9,13,18,2,3.5,13,16,2.5,3.5,6,25,4.5,6,2.5,31.5,28.5,22,9.5,16.5,13,15,6,26,8
Netherlands-5/9/2021,41,27,44,16,5,13,25,13,6,8,23,9,28,-13,4,3,0,14,6,-14,58,55,13,33,9,27,25,2,9,2
Italy-12/9/2021,1,57,14,28,58,41,34,23,4,22,21,20,-10,-10,10,8,21,11,13,-8,66,47,87,60,19,24,6,11,25,13
Russia-26/9/2021,52,33,33,8,27,17,11,31,-1,4,22,-5,6,-2,21,4,8,2,-12,2,75,36,34,37,-2,12,-1,20,5,0
Turkey-10/10/2021,36,46,35,29,12,18,26,17,-7,11,1,11,19,-5,12,17,6,0,3,0,72,59,25,38,-1,7,9,24,1,-2
United_States-24/10/2021,41,35,44,37,25,19,27,21,19,4,-13,-11,-8,12,6,10,18,1,7,2,66,76,29,33,18,4,14,11,14,4
Mexico-31/10/2021,34,11,46,33,0,24,26,19,18,12,13,15,29,-10,16,3,8,-2,-12,2,40,74,14,50,25,23,34,14,1,0
Brazil-14/11/2021,51,40,61,36,-11,13,28,27,9,-11,14,18,24,1,14,6,14,7,6,9,84,72,14,53,5,25,18,13,14,8
Qatar-21/11/2021,44,1,56,25,7,6,27,15,8,24,30,24,11,-3,11,8,6,-14,13,6,50,75,8,27,27,49,-2,14,2,14
Saudi Arabia-5/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi-12/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









